SessionNo	LogTime	CustID	GroupID	ProfID	Act	BadActor
-1726922980	2019-05-15 16:01:42.000	s8983751	main	ehost	115	0
690691445	2019-05-15 16:01:42.000	s8989984	main	ehost	126	0
1632710347	2019-05-15 16:01:43.000	s9002934	main	ehost	115	0
1273758236	2019-05-15 16:01:44.000	s8883937	main	ehost	111	0
-1	2019-05-15 16:01:44.000	s8883937	main	ehost	201	0
923256071	2019-05-15 16:01:44.000	s8989762	main	eds	116	0
1273758236	2019-05-15 16:01:44.000	s8883937	main	ehost	117	0
-832695658	2019-05-15 16:01:45.000	s8989984	main	eds	127	0
-832695658	2019-05-15 16:01:45.000	s8989984	main	eds	126	0
-767394522	2019-05-15 16:01:45.000	s8989984	main	eds	117	0
